example_id                                              | status | run_time        |
------------------------------------------------------- | ------ | --------------- |
./spec/controllers/payments_controller_spec.rb[1:1:1:1] | failed | 0.0291 seconds  |
./spec/controllers/payments_controller_spec.rb[1:1:2:1] | failed | 0.03663 seconds |
./spec/controllers/payments_controller_spec.rb[1:2:1:1] | failed | 0.03096 seconds |
./spec/controllers/payments_controller_spec.rb[1:2:2:1] | failed | 2.65 seconds    |
./spec/controllers/payments_controller_spec.rb[1:3:1]   | failed | 0.53077 seconds |
./spec/services/stripe_service_spec.rb[1:1:1:1]         | passed | 0.00813 seconds |
./spec/services/stripe_service_spec.rb[1:1:2:1]         | passed | 0.20688 seconds |
./spec/services/stripe_service_spec.rb[1:1:3:1]         | passed | 0.03245 seconds |
./spec/services/stripe_service_spec.rb[1:2:1:1]         | passed | 0.00491 seconds |
./spec/services/stripe_service_spec.rb[1:2:2:1]         | passed | 0.00446 seconds |
